Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,2.86831939212055,7.23519803341258,10.0261792105306,10.6347325992922,26.3745032100275,26.0461298009966,21.4425588041328,22.000786163522,21.0362451108214,20.7719361585578,20.3183533653846,20.4268177083943,20.5876691453648,20.311566765912,26.1948752380219,25.9340244138733,25.6711617820448,26.4204520857169,26.5172934158421,27.200707780588,26.9477259654482,27.8950228211258,26.2295526746779,25.9153220639692,24.6705288731078,24.5075162181761,13.1577223088924,8.35356100776471,8.41006417792511
Afghanistan,CO2 emissions (metric tons per capita),0.046056712629903,0.053588835050456,0.073720830832382,0.074160724829866,0.086173614368553,0.10128491249779,0.107398880925452,0.123409531952439,0.115142497510826,0.086509856637405,0.149651474425259,0.16520832089736,0.12999559417753,0.135366587543459,0.154503240567311,0.167612355743012,0.153557886047794,0.18152216644272,0.161894231687439,0.167066411474234,0.131782918458271,0.150614656164027,0.163103934258866,0.201224304559119,0.2319613460576,0.293956932229695,0.267771904296961,0.269229595949307,0.246823271293135,0.233882194583363,0.210643419418854,0.183363552358795,0.096196581060873,0.08508710751607,0.075806494212516,0.06863986215409,0.062434610729068,0.056642344529865,0.052763218125254,0.0407225399195,0.037234781041131,0.037846135703875,0.047377323869939,0.0504813357583,0.03841004317441,0.051743964563882,0.062427531534482,0.083892805662589,0.151720912092499,0.238398541311049,0.289987629819143,0.406424217113203,0.345148782903553,0.310341014879365,0.293946407148718
Angola,CO2 emissions (metric tons per capita),0.100835335649402,0.08220379674705,0.210531477092341,0.202737303453956,0.213560349319029,0.205890925853079,0.268941436867758,0.172101693676556,0.289718091111522,0.480234020430607,0.608223599046918,0.564548236096118,0.721245978268245,0.751239887196508,0.72077637996977,0.628568906605923,0.451353518485931,0.469221176481519,0.694736947493982,0.683062947974992,0.640966402195152,0.611135119645444,0.519354626128818,0.551348574103997,0.520982856139637,0.47190277210483,0.451618882781396,0.544085132259045,0.463508296402709,0.437295461971892,0.431743614699926,0.41553083007202,0.410522931864339,0.441721097947702,0.288119067989055,0.7870325472424,0.726233460982052,0.496361244979515,0.475815159521396,0.57708291408973,0.581961496322796,0.574316054293958,0.722958874715979,0.500225395509936,1.0018781174791,0.985736354999963,1.10501902714063,1.20313399963445,1.18500049364771,1.23442507446718,1.24409153765549,1.25268084136928,1.33021856719297,1.25377616969393,1.29030677595566
Albania,CO2 emissions (metric tons per capita),1.25819492789657,1.37418604651163,1.43995596379167,1.18168114415975,1.11174195966673,1.16609904273455,1.33305546458662,1.36374630010816,1.51955127697956,1.5589675720987,1.75323990542637,1.98949792330655,2.51591439803203,2.30389741687392,1.84900669071079,1.91063363704144,2.01358456245734,2.27587639136105,2.53062504042839,2.89820851758249,1.93505831031996,2.69302391440235,2.62485678513424,2.6832399189862,2.69429137362284,2.65801538201043,2.66535622064854,2.41406081518223,2.33159853051997,2.78324307461439,1.67810665434977,1.31221260013653,0.774724910911141,0.723790291969695,0.600203707768206,0.654537133005248,0.636625312930768,0.490365059535664,0.560271437384331,0.960164411868586,0.978174680894664,1.05330417594038,1.22954070946998,1.4126971959616,1.37621273504355,1.41249821101668,1.30257636722163,1.32233485532238,1.48431113888781,1.49560019934969,1.57857358391855,1.80371472482914,1.692908325435,1.74921107861166,1.97876331208568
Andorra,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46733566933901,7.18245663566904,6.91205338948512,6.73605484574634,6.4942004243981,6.66205168363352,7.06507147296457,7.23971271783233,7.66078388575348,7.97545440422557,8.01928429423459,7.78695000074249,7.59061514082999,7.31576070618458,7.35862494097896,7.29987193629782,6.74605212796168,6.51938706400271,6.42780997352794,6.12157986337213,6.12259470212791,5.8674101758869,5.91688403071809,5.90177532374279,5.83290621488897
Arab World,CO2 emissions (metric tons per capita),0.645735873485164,0.68746537900017,0.76357363420586,0.878237689457416,1.00305334612031,1.17054031568443,1.27817363236919,1.33744355641522,1.55224195812384,1.79866892679026,1.81030782953382,2.00372201868707,2.12087456086429,2.40953292626913,2.28589068301436,2.19678272563374,2.58434244603262,2.64876236752389,2.76233313644763,2.86361432676282,3.09289147272898,2.9302349553399,2.72315442714532,2.81656703424897,2.9813539094216,3.06185035107151,3.28449957232852,3.19780644184875,3.29504279852793,3.25667422435926,3.01695884106493,3.23664487293652,3.41548490914296,3.66944562715241,3.67435820627829,3.42400952386195,3.32830368134896,3.14553220517912,3.34996718461185,3.32834105848749,3.70385708074551,3.60795614877388,3.60461275396345,3.79646741189908,4.06856241498426,4.1856773062337,4.28571918166964,4.11714754949394,4.40894827346949,4.56201512382597,4.63681343868195,4.55946165497788,4.83777959400113,4.67492482250445,4.88698751329195
United Arab Emirates,CO2 emissions (metric tons per capita),0.119035252872817,0.109141235763324,0.163533063379654,0.175833133541117,0.132824781402357,0.146819968369846,0.160455318297745,5.39992107014743,6.80684126662542,101.051662678601,65.0169542116889,76.3476507454833,70.8639711880692,77.6193313128446,67.0170370798223,56.6668508720575,62.156926708908,52.74519000631,53.6373164589687,39.289187324054,36.1984916268517,33.6099588732548,31.6547862905926,28.76982137784,35.8546551661513,36.5448108719012,32.6571350544117,31.1000211276423,29.7269625202665,31.5747539666949,28.4446241369654,29.4302251809743,28.3193886085525,30.3617628692872,31.873892568161,29.2498780583746,16.1706819590678,15.5898448057583,28.9687908562946,26.4241040392659,35.9157642701389,30.7063822262808,24.3487964304697,28.7833160736781,27.8330290495186,25.3144861030137,23.3718604332612,21.9859334934715,22.1954898852343,21.214059538948,18.8085197312558,18.4916168135184,19.2949203837054,18.5592361743048,22.9396063130991
Argentina,CO2 emissions (metric tons per capita),2.38334297035428,2.45855142553302,2.53844603606137,2.33068505283097,2.55344179743567,2.65646573840291,2.80689551696705,2.871099658945,2.98177731636121,3.28816119970689,3.46452723619014,3.66615941648738,3.65700815412214,3.75415427499428,3.75336660448062,3.67015070415827,3.79926198227955,3.78041549059055,3.79288096280975,4.02981026998763,3.89788833219675,3.6008100283307,3.59179341867078,3.59556404239252,3.5821484971648,3.3292256468773,3.39465765033634,3.68588331703513,3.83571434593551,3.64223245430046,3.43815141220892,3.53995921883975,3.61928035773818,3.47149448525499,3.55809941158059,3.67414170770385,3.83019839147142,3.87027000740855,3.87692639244616,4.03058881541224,3.8549919479614,3.58735031650151,3.3096836879838,3.5460883239776,4.09408291682224,4.16812854757591,4.46518602068451,4.41424641662401,4.7182244282458,4.44538780283611,4.60716374803428,4.64437307038597,4.60917985556416,4.49853999490794,4.78150777487432
Armenia,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6924695677987,0.759981243540201,0.824153606318789,1.05997548291326,0.809044886704558,1.03230198695281,1.08169108051084,0.975802049969214,1.12891750073544,1.16115550366196,1.00317470990231,1.13609087282285,1.2147078034605,1.46002557971119,1.48127459388089,1.72682804238397,1.91193341078505,1.50966901331398,1.46561781992195,1.70950183866857,1.97447948827919,1.89704008580942,1.89871937365811
American Samoa,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
